job,job_lower,Description,Related Courses,Key Words
Computer Programmer,computer programmer,"Computer programmers use programming languages to write, test, and maintain code. Together with software developers and engineers, programmers create the instructions computers use to execute tasks. A programmer's job also includes finding bugs, eliminating errors, and troubleshooting issues.",COP 3502C;COP 3503C;COP 3504C;COP 3530;COP 4020;COP 2271;COP 2800;COP 3275,programmer; computer programmer; computer scientist
Mathematician,mathematician,"A mathematician uses an extensive knowledge of mathematics in their work, typically to solve mathematical problems. Mathematicians are concerned with numbers, data, quantity, structure, space, models, and change.",COT 3100;MAC 2311;MAC 2312;MAC 2313;MAS 3114;STA 3032;COT 4501;PHY 2048;PHY 2048L;PHY 2049;PHY 2049L,math jobs; mathematician
Graphic Designer,graphic designer,"Graphic designers create visual concepts, using computer software or by hand, to communicate ideas that inspire, inform, and captivate consumers. They develop the overall layout and production design for applications such as advertisements, brochures, magazines, and reports.",CAP 3020;CAP 3027;CAP 3032;CAP 3034;CAP 3220;CAP 4112;CAP 4730;CEN 4722;CEN 4725;CAP 4613;CAP 4730,graphic designer; artist; computer graphics; digital designer
Security Analyst,security analyst,"Information security analysts keep their companies' data and computer systems safe from cyberattacks. They install protective software, watch for potential breaches, and respond to any attacks that do occur.",CNT 4007;ENC 3246;CAP 4136;CAP 4621;CAP 4641;CEN 4072;CIS 4204;CIS 4213;CIS 4360;CIS 4362,security analyst; cybersecurity; software security
Data Scientist,data scientist,"Data scientists use mathematical models to answer questions and solve problems in the real world. They apply advanced tools and techniques to find patterns, create visualizations, and draw conclusions from data sets.",CAP 4770;CGS 4144,data scientist; big data
Hardware Engineer,hardware engineer,"Hardware engineers design and develop computer systems and their physical components. Their work also involves the extensive testing and modification of initial designs, along with maintenance tasks like applying product updates.",CEN 3907C;CEN 3908C;CEN 3913;CEN 4914;EEL 3701C;EEL 4744C,computer engineer; hardware engineer; hardware
Database Administrator,database administrator,"Database administrators maintain and protect sensitive information and provide access to important datasets for companies, institutions, and government bodies. These professionals organize sensitive datasets such as financial records, purchase histories, and customer details, and they make materials available to other professionals while maintaining information security and privacy settings. Database administrators also back up, restore, and troubleshoot database sets and system access, updating and integrating old programs to implement the latest technology.",CIS 4301;COP 4720,database; database administrator; database admin
Software Engineer,software engineer,"Computer software engineers develop programs and operating systems for computers. They work with system programmers, analysts, and other engineers to design systems, project capabilities, and determine performance interfaces. Software engineers also analyze user needs, provide consultation services to discuss design elements, and coordinate software installation.",CEN 3031;CIS 4914;CEN 4721;COP 4331;CIS 4912C;CIS 4913C;EGN 4951;EGN 4952,software engineer; computer software engineer
Network Administrator,network administrator,"Network administrators make sure computer software and operating systems work properly and stay updated. These professionals oversee the information technology within an organization, serving as the go-to people for major computer or technical issues.",CNT 4007;CNT 4520;CNT 4731,network adminstrator; networking; network admin
Video Game Developer,video game developer,"Video game designers create games that run on computers and gaming consoles. They develop flowcharts and storyboards for their games, write code, and fix glitches. Designers may focus on the game's setting, characters, or visuals.",CAP 4053;CAP 3220,video game developer; video games; game developer; games
Web Developer,web developer,"Web development and web design share many commonalities, but they differ in some key areas. Web design deals with the front-end of a website, concerning itself with appearance and user experience. Web development, on the other hand, deals with building technical front-end and/or back-end code that informs site function. Web developers may work exclusively on front-end code, back-end code, or both, and many modern jobs also require overlap into web design. These professionals may work independently on a freelance basis or with marketing or IT departments.",CEN 4722;CEN 4725,web developer; web dev; website developer
Web Designer,web designer,"Web development and web design share many commonalities, but they differ in some key areas. Web design deals with the front-end of a website, concerning itself with appearance and user experience. Web development, on the other hand, deals with building technical front-end and/or back-end code that informs site function. Web developers may work exclusively on front-end code, back-end code, or both, and many modern jobs also require overlap into web design. These professionals may work independently on a freelance basis or with marketing or IT departments.",CEN 4722;CEN 4725,web designer; website designer
IT Architect,it architect,"An information technology architect's job includes managing, planning, and executing various organization-wide technological components with a focus on digital security. These professionals play a key role in the big picture of a company's information technology security, compliance, and organization.",CDA 3101;CDA 4102,information technology architect; IT architect; IT; architect
Systems Analyst,systems analyst,"Computer systems analysts survey and diagnose database program issues, resolve user issues, and advise management about systems innovations to improve productivity. Systems analysts also research the latest technologies in database and system design to upgrade infrastructures and train employees, clients, and patients to access systems efficiently.",COP 4600;CDA 4102;CDA 4630,system analyst
Software Developer,software developer,"Software developers create software to meet user needs by employing diagrams and models, writing code, and ensuring overall functionality. These professionals design, build, and implement computer programs and applications. Applications software developers focus on applications used on mobile devices and computer desktops. Systems software developers create and oversee software used in network distribution, along with database, game, and web development.",CEN 3031;CIS 4914;CEN 4721;COP 4331;CIS 4912C;CIS 4913C;EGN 4951;EGN 4952,software developer; computer software eveloper; application developer; app developer
